title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Vlada,"14322740,17",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
Min. finansija,"9718097,88",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
Uprava za inspek. poslove,3722329,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
Skupština,"2700499,99",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
Ured za zajed. poslove,1419265,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
"Min. poljop., šumar. i vodopr.",17947918,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
"Min. ind., energ. i rudarstva",2640722,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
"Min. trgov., turizma i saobrač.",1187574,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
Min. razvoja i poduzetništva,1122512,2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Tuzlanski kanton
Direkc. robnih rezervi,137722,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
MUP,"51273205,37",2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Tuzlanski kanton
Min. pravosuđ. i uprave,22175941,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
Uprava CZ,3773120,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Tuzlanski kanton
Osnovno obrazovanje,"77085752,33",2012,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Tuzlanski kanton
Srednje obrazovanje,"44338611,9",2012,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Tuzlanski kanton
Visoko obrazovanje,39405642,2012,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Tuzlanski kanton
"Min. obraz. nauke, kult. i sporta",7544590,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
Pedagoški zavod,"643195,17",2012,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Tuzlanski kanton
Min. zdravstva,419964,2012,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Tuzlanski kanton
Min. za rad soc. politiku i povratak,38373067,2012,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Tuzlanski kanton
Min. za socij. pitanja,12550851,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
Min. prosto. uređenja i zaštite okolice,2656827,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
